,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category,Total_views_by_boat_type,Listings_by_country,Avg_price_by_boat_type,Top_Boat Type,Views_Per_Country
6455,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1992,7.7,2.46,Plastic,3263,15198.0,Switzerland , Le Landeron (NE),Used boat,Unleaded,Low-priced,258310,900,389656.89752711495,True,316879
5921,Hardtop,Princess power boats,"Used boat,Diesel",1979,11.12,3.88,GRP,2432,35700.0,Switzerland , Neuenburgersee ,Used boat,Diesel,Low-priced,51925,900,337693.68282722513,False,316879
4235,"Bowrider,Motor Yacht,Sport Boat",Windy power boats,"Used boat,Diesel",2002,12.35,3.48,GRP,2261,128418.0,Switzerland , Lago Maggiore ,Used boat,Diesel,High-priced,2261,900,128418.0,False,316879
2515,Hardtop,Pershing power boats,"Used boat,Diesel",2009,20.3,5.2,GRP,2154,949000.0,Neustadt in Holstein (Ostsee),Unknown,Used boat,Diesel,High-priced,51925,1,337693.68282722513,False,2154
185,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,20298.0,Switzerland , Murtensee ,Used boat,Unleaded,Low-priced,185383,900,79562.25306553912,True,316879
595,Cabin Boat,Viper power boats,"Used boat,Unleaded",2014,6.65,2.3,GRP,1970,49470.0,Switzerland , Horn ,Used boat,Unleaded,Low-priced,104350,900,66575.12642512078,True,316879
6632,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tullio Abbate power boats,"Used boat,Unleaded",1980,6.0,2.1,GRP,1917,5098.9800000000005,Switzerland , Lake of Zurich ,Used boat,Unleaded,Low-priced,3285,900,48666.32666666667,False,316879
5896,Sport Boat,Correct Craft power boats,"Used boat,Unleaded",2005,6.4,2.31,GRP,1834,36720.0,Switzerland , Lago Maggiore ,Used boat,Unleaded,Low-priced,185383,900,79562.25306553912,True,316879
6616,Sport Boat,Baha power boats,"Used boat,Unleaded",1995,6.8,2.38,GRP,1831,6630.0,Thun,Unknown,Used boat,Unleaded,Low-priced,185383,1,79562.25306553912,True,1831
15,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,3876.0,Switzerland , Walensee ,Used boat,Unleaded,Low-priced,104350,900,66575.12642512078,True,316879
